uf;anomes;valor;regiao
Roraima;200903;1393226.7;Norte
Pará;200903;26624310.1;Norte
Amapá;200903;1750321.77;Norte
Tocantins;200903;6273994.59;Norte
Maranhão;200903;16681626.41;Nordeste
Piauí;200903;11401299.72;Nordeste
Ceará;200903;36939120.91;Nordeste
Rio Grande do Norte;200903;11613016.25;Nordeste
Paraíba;200903;14827006.61;Nordeste
Pernambuco;200903;35816570.57;Nordeste
Alagoas;200903;11050019.89;Nordeste
Sergipe;200903;5347746.85;Nordeste
Bahia;200903;49779947.78;Nordeste
Minas Gerais;200903;95290591.54;Sudeste
Espírito Santo;200903;14112825.59;Sudeste
Rio de Janeiro;200903;50808893.61;Sudeste
São Paulo;200903;212777859.48;Sudeste
Paraná;200903;65633573.31;Sul
Santa Catarina;200903;34665661.11;Sul
Rio Grande do Sul;200903;63366430.89;Sul
Mato Grosso do Sul;200903;10849523.03;Centro-Oeste
Mato Grosso;200903;11965500.15;Centro-Oeste
Goiás;200903;23334312.45;Centro-Oeste
Distrito Federal;200903;13844384.56;Centro-Oeste
Rondônia;200904;3607289.68;Norte
Acre;200904;2834317.62;Norte
Amazonas;200904;8844511.21;Norte
Roraima;200904;1273734.17;Norte
Pará;200904;26478979.58;Norte
Amapá;200904;2052705.19;Norte
Tocantins;200904;6762806.93;Norte
Maranhão;200904;17735055.55;Nordeste
Piauí;200904;12428589.39;Nordeste
Ceará;200904;34179912.08;Nordeste
Rio Grande do Norte;200904;9515920.85;Nordeste
Paraíba;200904;15397556.53;Nordeste
Pernambuco;200904;35969258.01;Nordeste
Alagoas;200904;11833838.52;Nordeste
Sergipe;200904;5864474.02;Nordeste
Bahia;200904;50014602.82;Nordeste
Minas Gerais;200904;94091211.77;Sudeste
Espírito Santo;200904;14441001.76;Sudeste
Rio de Janeiro;200904;49188045.37;Sudeste
São Paulo;200904;203186114.01;Sudeste
Paraná;200904;64759375.78;Sul
Santa Catarina;200904;33835731.44;Sul
Rio Grande do Sul;200904;62200230.97;Sul
Mato Grosso do Sul;200904;10902848.13;Centro-Oeste
Mato Grosso;200904;11185014.96;Centro-Oeste
Goiás;200904;23508108.16;Centro-Oeste
Distrito Federal;200904;13014468.49;Centro-Oeste
Rondônia;200905;3774356.6;Norte
Acre;200905;2722065.97;Norte
Amazonas;200905;9079035.96;Norte
Roraima;200905;1552638.5;Norte
Pará;200905;26366401.19;Norte
Amapá;200905;1915803.55;Norte
Tocantins;200905;6575718.57;Norte
Maranhão;200905;17466345.31;Nordeste
Piauí;200905;13096561.66;Nordeste
Ceará;200905;36272200.59;Nordeste
Rio Grande do Norte;200905;12872004.45;Nordeste
Paraíba;200905;16277442.59;Nordeste
Pernambuco;200905;38381369.46;Nordeste
Alagoas;200905;11964555.99;Nordeste
Sergipe;200905;6673113.2;Nordeste
Bahia;200905;48790551.8;Nordeste
Minas Gerais;200905;99076844.1;Sudeste
Espírito Santo;200905;15869485.76;Sudeste
Rio de Janeiro;200905;54038727.15;Sudeste
São Paulo;200905;217040531.7;Sudeste
Paraná;200905;65902215.41;Sul
Santa Catarina;200905;35240482.92;Sul
Rio Grande do Sul;200905;61683824.68;Sul
Mato Grosso do Sul;200905;11991649.26;Centro-Oeste
